,X1,X2,Y1,Z1,Z2
X1,0,69,48.18677324,52.3019434,44
X2,69,0,48.18677324,41,49.63201124
Y1,48.18677324,48.18677324,0,33,36.72792206
Z1,52.3019434,41,33,0,20
Z2,44,49.63201124,36.72792206,20,0
A1,41.77050983,44.52562419,22.82842712,14.82842712,14.82842712
A2,44.03943276,42.67766953,22.23606798,14.23606798,16.47213595
A3,46.36000936,41.00781059,22,14,18.32455532
A4,48.71708245,39.57737974,22.23606798,14.23606798,20.24621125
A5,51.10076627,38.46291202,22.82842712,14.82842712,22.19803903
B1,43.02775638,43.02775638,24.47213595,14.23606798,14.23606798
B2,45.15564437,41.00781059,24.12310563,13.41421356,16.12310563
B3,47.36067977,39.14213562,24,13,18.08276253
B4,49.6221445,37.5,24.12310563,13.41421356,20.06225775
B5,51.92582404,36.18033989,24.47213595,14.23606798,22.04987562
C1,44.52562419,41.77050983,26.32455532,14,14
C2,46.50581317,39.57737974,26.08276253,13,16
C3,48.58495283,37.5,26,10,18
C4,50.73907535,35.60660172,26.08276253,13,20
C5,52.95084972,34.01387819,26.32455532,14,22
D1,46.21320344,40.8113883,28.24621125,14.23606798,14.23606798
D2,48.04886114,38.46291202,28.06225775,13.41421356,16.12310563
D3,51.57536453,36.18033989,28,13,18.08276253
D4,55.10398645,34.01387819,28.06225775,13.41421356,20.06225775
D5,58.63406012,32.07106781,28.24621125,14.23606798,22.04987562
E1,48.04886114,40.20690633,30.19803903,14.82842712,14.82842712
E2,49.74873734,37.74754878,30.04987562,14.23606798,16.47213595
E3,51.57536453,35.30776406,30,14,18.32455532
E4,53.50438563,32.90569415,30.04987562,14.23606798,20.24621125
E5,55.51638904,30.59016994,30.19803903,14.82842712,22.19803903
