,CSC11,CSC13,CSC5,CSC7,Noncertified1,Noncertified10,Noncertified15,Noncertified2,Noncertified4,Noncertified6,Noncertified8,PSC12,PSC14,PSC3,TCSC9
A-7,87.13422354780681,96.83988510292164,83.3867559015837,110.6638400607782,24.22821611281272,37.11034762888,64.46555043562606,57.58890474850043,40.95331684843921,43.85424605198197,85.07354726953105,68.33140104338165,55.12230440809817,27.8998822048131,63.18210707046241
A-8,89.75067836913883,99.45633992425365,86.0032107229157,109.3250125438707,27.61683771962992,35.66089479281538,68.27081543935401,52.75796275813428,44.44219625135929,46.47070087331397,88.878812273259,64.99457040160863,57.73875922943019,26.68132232415592,65.79856189179442
A-9,93.21167134979581,102.9173329049107,89.46420370357268,105.2578478725749,31.07783070028694,31.59371977820513,72.35918684946898,48.69079808683846,48.23047375608576,49.93169385397099,91.0711463670661,60.92739538699837,61.1997522100872,26.57423148017089,69.25955487245143
B-10,96.4631171708676,106.1687787259825,92.71564952464448,108.2782166806582,34.32927652135874,29.19261349526617,75.61063267054078,41.45176269482626,51.48191957715757,53.18313967504277,79.87448183400389,58.52628910405942,64.45119803115901,29.71085986780785,72.51100069352324
B-11,100.9660665448056,110.6717280999204,97.21859889858246,106.2157097146028,37.7348322851586,27.13010652921071,79.01618843434065,36.84529444532043,54.64860676500028,57.68608904898075,77.81197486794842,56.46378213800396,68.95414740509699,28.77447869300907,77.01395006746122
B-12,104.5127377194787,114.2183992745935,100.7652700732556,109.7623808892759,41.28156449498793,30.67677770388379,82.56292064416996,33.14659203305679,58.19527793967336,61.23276022365383,81.3586460426215,60.01045331267703,72.50081857977007,29.33391040458326,80.56062124213429
B-4,73.37141725065611,83.07707755547979,69.62395773132299,107.8572927322371,9.634345502605672,36.66872292577447,53.78320445073366,65.67847156970761,28.38956452400728,30.09145600861128,81.4828245911637,58.10536312391575,41.35951436472749,32.84019676939488,49.41931702709172
B-5,82.59769521711146,92.3033648991163,78.85022757088834,116.1558271537332,16.53474258007462,42.60233472183505,64.01744419947882,67.29818192966917,34.41840639088319,39.31772584817662,90.56553436248608,67.33175503379358,51.20937106766112,34.45990712935644,58.64558686665706
B-6,81.6389795918843,91.3446411469991,77.89151194566115,106.4170020495392,17.12613801927662,32.86350961764096,60.21871242438701,63.87430947143313,35.45884249146696,38.35900209605942,80.826709258292,62.2395559415906,49.62706045217563,29.81644113521261,57.68686311453985
B-7,89.22675910231145,98.93242065742628,85.47929145608833,110.4569117547989,27.09291845280254,36.85525465497126,64.21045746171731,64.03178215019133,44.00864760096692,45.9467816064866,84.81845429562232,62.92733798259183,57.21483996260281,32.23489060576382,65.27464262496704
B-8,89.90466866024701,99.61033021536184,86.15720101402388,108.4177766170426,27.77082801073811,34.81611951721498,62.17132232396103,52.67046627491894,44.6865571589025,46.62469116442216,82.23637119410996,60.88820284483553,57.89274952053838,30.37567740194415,65.95255218290261
B-9,92.64574244691146,102.3514040020263,88.89827480068834,108.7841687803474,30.51190179740257,32.8632515127082,65.54896642422835,49.96032982134153,47.33710033333102,49.36576495108664,86.15696325813336,62.19692712150144,60.63382330720285,29.43621206328494,68.69362596956708
C-10,102.3998949767877,112.1055565319026,98.65242733056462,106.6707011863231,39.168721752297,27.58509800093105,71.88845254641893,41.54446950370091,56.08243519698242,59.1199174809629,78.26696633966876,56.9187736097243,70.38797583707913,30.20830712499121,78.44777849944336
C-11,104.8020728616803,114.5077344167951,101.0546052154571,102.9213178770442,41.57089963718953,23.83571469165212,76.6652831656194,40.93279300028546,58.48461308187496,61.52209536585544,74.51758303038983,53.16939030044536,72.79015372197168,32.62837268576887,80.8499563843359
C-12,109.191084088844,118.8967456439588,105.4436164426209,112.1937813818421,45.95989336028208,33.10817819645003,85.06600864168749,33.50198809990805,62.87360680496751,65.91110659301914,70.21919669042418,62.44185380524327,77.17916494913538,34.0122340982202,85.2389676114996
C-2,70.20277662933958,79.90843474615434,66.45531711000645,102.8636736658799,7.476052238777394,31.19868904497,50.61456382941712,65.7320858514538,24.62808494301371,26.92281538729474,74.45993881922556,53.11177046995112,39.50688388142729,35.55403690598389,46.25067911473938
C-3,73.6950093718928,83.40066154982645,69.94754172566965,105.6443125009254,9.75555419921875,31.55882756505228,55.11474085018902,71.52637537867736,28.71333162382271,30.41504000295795,79.41143150257832,57.29316562945949,42.99911662398051,34.974517706782,49.74291185729259
C-4,76.60695399526422,86.31260617319788,72.85948634904108,106.5457260078913,12.66749882259017,30.72173948434199,58.02668547356043,65.25513629082579,31.62576452844413,33.32698462632937,78.14199116123697,56.79382281196255,45.3185622927795,35.32700801670788,52.65485648066402
