,CSC12,CSC14,CSC6,CSC8,Noncertified1,Noncertified11,Noncertified2,Noncertified5,Noncertified7,Noncertified9,PSC13,PSC15,PSC4,TCSC10
A-7,68.33140104338165,55.12230440809817,43.85424605198197,85.07354726953105,24.22821611281272,87.13422354780681,57.58890474850043,83.3867559015837,110.6638400607782,63.18210707046241,96.83988510292164,64.46555043562606,40.95331684843921,37.11034762888
A-8,64.99457040160863,57.73875922943019,46.47070087331397,88.878812273259,27.61683771962992,89.75067836913883,52.75796275813428,86.0032107229157,109.3250125438707,65.79856189179442,99.45633992425365,68.27081543935401,44.44219625135929,35.66089479281538
A-9,60.92739538699837,61.1997522100872,49.93169385397099,91.0711463670661,31.07783070028694,93.21167134979581,48.69079808683846,89.46420370357268,105.2578478725749,69.25955487245143,102.9173329049107,72.35918684946898,48.23047375608576,31.59371977820513
B-10,58.52628910405942,64.45119803115901,53.18313967504277,79.87448183400389,34.32927652135874,96.4631171708676,41.45176269482626,92.71564952464448,108.2782166806582,72.51100069352324,106.1687787259825,75.61063267054078,51.48191957715757,29.19261349526617
B-11,56.46378213800396,68.95414740509699,57.68608904898075,77.81197486794842,37.7348322851586,100.9660665448056,36.84529444532043,97.21859889858246,106.2157097146028,77.01395006746122,110.6717280999204,79.01618843434065,54.64860676500028,27.13010652921071
B-12,60.01045331267703,72.50081857977007,61.23276022365383,81.3586460426215,41.28156449498793,104.5127377194787,33.14659203305679,100.7652700732556,109.7623808892759,80.56062124213429,114.2183992745935,82.56292064416996,58.19527793967336,30.67677770388379
B-4,58.10536312391575,41.35951436472749,30.09145600861128,81.4828245911637,9.634345502605672,73.37141725065611,65.67847156970761,69.62395773132299,107.8572927322371,49.41931702709172,83.07707755547979,53.78320445073366,28.38956452400728,36.66872292577447
B-5,67.33175503379358,51.20937106766112,39.31772584817662,90.56553436248608,16.53474258007462,82.59769521711146,67.29818192966917,78.85022757088834,116.1558271537332,58.64558686665706,92.3033648991163,64.01744419947882,34.41840639088319,42.60233472183505
B-6,62.2395559415906,49.62706045217563,38.35900209605942,80.826709258292,17.12613801927662,81.6389795918843,63.87430947143313,77.89151194566115,106.4170020495392,57.68686311453985,91.3446411469991,60.21871242438701,35.45884249146696,32.86350961764096
B-7,62.92733798259183,57.21483996260281,45.9467816064866,84.81845429562232,27.09291845280254,89.22675910231145,64.03178215019133,85.47929145608833,110.4569117547989,65.27464262496704,98.93242065742628,64.21045746171731,44.00864760096692,36.85525465497126
B-8,60.88820284483553,57.89274952053838,46.62469116442216,82.23637119410996,27.77082801073811,89.90466866024701,52.67046627491894,86.15720101402388,108.4177766170426,65.95255218290261,99.61033021536184,62.17132232396103,44.6865571589025,34.81611951721498
B-9,62.19692712150144,60.63382330720285,49.36576495108664,86.15696325813336,30.51190179740257,92.64574244691146,49.96032982134153,88.89827480068834,108.7841687803474,68.69362596956708,102.3514040020263,65.54896642422835,47.33710033333102,32.8632515127082
C-10,56.9187736097243,70.38797583707913,59.1199174809629,78.26696633966876,39.168721752297,102.3998949767877,41.54446950370091,98.65242733056462,106.6707011863231,78.44777849944336,112.1055565319026,71.88845254641893,56.08243519698242,27.58509800093105
C-11,53.16939030044536,72.79015372197168,61.52209536585544,74.51758303038983,41.57089963718953,104.8020728616803,40.93279300028546,101.0546052154571,102.9213178770442,80.8499563843359,114.5077344167951,76.6652831656194,58.48461308187496,23.83571469165212
C-12,62.44185380524327,77.17916494913538,65.91110659301914,70.21919669042418,45.95989336028208,109.191084088844,33.50198809990805,105.4436164426209,112.1937813818421,85.2389676114996,118.8967456439588,85.06600864168749,62.87360680496751,33.10817819645003
C-2,53.11177046995112,39.50688388142729,26.92281538729474,74.45993881922556,7.476052238777394,70.20277662933958,65.7320858514538,66.45531711000645,102.8636736658799,46.25067911473938,79.90843474615434,50.61456382941712,24.62808494301371,31.19868904497
C-3,57.29316562945949,42.99911662398051,30.41504000295795,79.41143150257832,9.75555419921875,73.6950093718928,71.52637537867736,69.94754172566965,105.6443125009254,49.74291185729259,83.40066154982645,55.11474085018902,28.71333162382271,31.55882756505228
C-4,56.79382281196255,45.3185622927795,33.32698462632937,78.14199116123697,12.66749882259017,76.60695399526422,65.25513629082579,72.85948634904108,106.5457260078913,52.65485648066402,86.31260617319788,58.02668547356043,31.62576452844413,30.72173948434199
C-5,55.73905144970254,48.43991232469169,36.60947677319812,77.63016776273302,17.7253959958394,79.88945426902299,64.20036492856578,76.14198662279985,105.4909546456313,55.93733779167856,89.5951158241378,57.02217092882802,34.87803905163823,29.66696812208198
C-6,55.15322884537397,54.02519681627663,42.75713846016043,76.5013971946484,23.90327530647635,86.03711595598527,63.61454232423721,82.28964830976214,104.5755692006235,62.08499947864085,95.74277751110012,56.43634832449946,40.81900445464073,29.08114551775342
C-7,58.58232865562619,57.58705843679779,46.31900008068158,79.93049700490062,27.46513692699752,89.59897757650641,54.67367680689416,85.8515099302833,107.4810430528333,65.64686109916202,99.30463913162126,59.86544813475169,44.3808660751619,30.36674411921421
C-8,62.75062033631381,60.64165487841293,49.37359652229672,84.48973416246199,30.51973336861266,92.65357401812155,49.6624758145585,88.90610637189843,111.1666209397609,68.70145754077716,102.3592355732364,64.92016664667932,47.43546251677705,32.0321752487704
C-9,59.34217789612169,70.48439946276929,57.56463679607771,80.69037062606617,39.76988313391701,102.4963186024779,47.10558059596178,98.74885095625478,109.0941054727205,78.54420212513352,112.2019801575927,69.44421800274732,56.92252618971582,30.00850228732845
D-10,53.82614550964685,70.48924674341117,57.56950993500566,75.17433823959131,39.77473041455887,102.5011658831198,42.86994228386654,98.75369823689664,103.5780730862457,78.5490494057754,112.2068274382346,69.44909114167527,56.92737347035769,24.4924699008536
D-11,52.78600016336458,72.75961860641175,59.83985593972015,74.13419289330903,42.04510227755944,104.7715377461203,40.54940286320468,101.0240700998972,102.5379277399634,80.81942126877597,114.4771993012352,71.71943714638977,59.19774533335827,23.45232455457134
D-12,53.92069070155296,74.06787015838087,62.79981180226464,75.26888343149741,42.84861607359873,106.0797892980895,33.54806306105943,102.3323216518664,103.6726182781518,82.12767282074509,115.7854508532043,77.41658356672698,59.76232951828416,24.58701509275971
D-13,56.53089199571708,82.5524442503455,70.37034576445002,70.0595415420178,51.33319016556336,114.5643633900541,33.34233295150167,110.816895743831,106.2827951916459,90.61224691270974,117.7972780470607,75.76314203692081,68.24690361024878,27.19719200625381
D-2,55.95183195568767,40.0255682189776,27.44149972484506,77.30000030496211,12.01263539916136,70.7214609668899,78.04631983736692,66.97400144755676,105.7037351516165,46.76936345228969,80.42711908370467,51.13324816696743,29.16491224402268,38.07877202374182
D-3,50.75784781772952,41.83077421388773,30.16367567430856,72.10604257939647,11.11564753347293,73.4436369163534,64.39212164402232,69.69617739702026,100.5097774260508,49.49153940175319,83.14929722117706,53.85542411643094,28.26792437833426,29.85872483753852
D-4,52.77308089881366,44.46389068544485,33.1955271535474,74.12124924808809,12.82804940263392,76.47549652248226,62.05827327712043,72.72802887625912,102.5249840947424,52.52339900788206,86.18114870041592,54.76968268306047,30.90165120145388,27.52487647063664
D-5,54.62121999890321,51.01764061862683,39.74958226251064,75.96941476057017,20.30312428977454,83.02955163144549,62.85840917157394,79.28208398522236,104.3731496072245,59.07745411684528,92.73522131345032,56.36735230623517,37.45576734557336,28.32501236509015
D-6,55.82357081147064,55.5566946893539,44.28863633323771,77.17173916074506,24.84217836050161,87.56861382906254,62.01149635868319,83.82114618283943,105.5754740073994,63.61649735171814,97.2742753841774,57.10675132575237,41.99482141630044,27.4780995521994
D-7,56.48335367193577,57.77015762027816,45.78606186626664,77.83152202121019,27.64823611047788,89.06603936209147,52.40276053974424,85.31857171586836,106.2352568678646,65.11394184749126,98.77170091720632,57.76647315106126,44.56396525864227,25.57000449267958
